OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
FENGYUN 1C DEB,1999-025GS,2025-04-02T15:19:30.766656,13.65049094,.0241502,99.4456,351.2170,35.9031,25.4983,0,U,29896,999,90575,.11286E-2,.1072E-4,0
FENGYUN 1C DEB,1999-025GT,2025-04-01T23:48:24.969888,13.55977650,.0305033,98.6396,347.1115,80.1279,297.8409,0,U,29897,999,89486,.42559E-2,.3983E-4,0
FENGYUN 1C DEB,1999-025GU,2025-04-02T01:33:36.643680,13.67487445,.0440172,98.2249,120.9662,154.4654,268.1695,0,U,29898,999,89677,.31855E-2,.5241E-4,0
FENGYUN 1C DEB,1999-025GV,2025-04-02T06:50:06.686304,13.37390231,.0353163,98.6508,285.2826,359.1410,0.9075,0,U,29899,999,88683,.27884E-3,.173E-5,0
FENGYUN 1C DEB,1999-025GX,2025-04-02T13:40:43.377600,13.33080817,.037978,98.7539,300.0665,198.3206,222.6872,0,U,29901,999,88532,.59989E-3,.405E-5,0
FENGYUN 1C DEB,1999-025GZ,2025-04-02T08:03:58.377312,15.40916914,.0025095,98.9382,240.7341,247.3566,112.5022,0,U,29903,999,96323,.12493E-1,.556352E-2,0
FENGYUN 1C DEB,1999-025HA,2025-04-02T07:41:42.299808,14.43399836,.0211234,99.0654,113.7506,353.7156,6.1389,0,U,29904,999,95392,.97664E-3,.4265E-4,0
FENGYUN 1C DEB,1999-025HC,2025-04-02T12:09:32.175360,14.44366798,.004238,98.6998,188.8339,191.3450,168.6788,0,U,29906,999,94481,.49115E-2,.17095E-3,0
FENGYUN 1C DEB,1999-025HD,2025-04-02T10:48:44.356032,14.10106164,.0084975,99.1243,155.3203,241.4961,129.1060,0,U,29907,999,93013,.21566E-2,.3897E-4,0
FENGYUN 1C DEB,1999-025HF,2025-04-01T05:33:42.054336,14.49729949,.0043162,98.6294,187.8607,76.3127,337.7382,0,U,29909,999,94697,.34464E-2,.13406E-3,0
FENGYUN 1C DEB,1999-025HH,2025-04-02T02:24:41.261184,14.17980317,.0028418,98.7369,139.3535,160.9300,228.9599,0,U,29911,999,93821,.89983E-3,.1806E-4,0
FENGYUN 1C DEB,1999-025HJ,2025-04-01T19:13:40.650816,14.39112351,.0044375,98.7352,183.6801,255.9734,224.1644,0,U,29912,999,94367,.29029E-2,.9048E-4,0
FENGYUN 1C DEB,1999-025HK,2025-04-02T13:40:35.528160,14.07060442,.0061715,98.7837,98.5076,266.6731,221.6066,0,U,29913,999,93390,.46502E-3,.747E-5,0
FENGYUN 1C DEB,1999-025HL,2025-04-02T08:38:04.059744,14.02989780,.0036838,98.8704,127.7081,104.7955,17.5224,0,U,29914,999,93219,.10391E-3,.12E-5,0
FENGYUN 1C DEB,1999-025HN,2025-04-02T14:50:19.715136,13.56627346,.0273118,99.2154,127.9840,187.6718,302.4185,0,U,29916,999,90006,.95454E-3,.818E-5,0
FENGYUN 1C DEB,1999-025HP,2025-04-02T15:16:46.007040,13.69739437,.0227537,98.8977,333.3968,75.0714,350.4792,0,U,29917,999,90651,.19665E-2,.2025E-4,0
FENGYUN 1C DEB,1999-025HQ,2025-04-02T02:47:21.488352,14.31234611,.0012137,98.8622,169.0583,347.5953,75.9221,0,U,29918,999,94149,.20315E-2,.5331E-4,0
FENGYUN 1C DEB,1999-025HR,2025-04-02T10:54:52.187616,13.84971227,.0137213,98.4586,271.4173,319.9962,67.5344,0,U,29919,999,92015,.27704E-3,.298E-5,0
FENGYUN 1C DEB,1999-025HS,2025-04-02T14:40:47.658144,14.02679905,.012506,98.4163,326.3670,280.1208,78.5872,0,U,29920,999,92724,.14709E-2,.2392E-4,0
FENGYUN 1C DEB,1999-025HT,2025-04-01T21:59:49.358400,14.06264976,.0046954,98.7919,105.3484,66.3641,50.1931,0,U,29921,999,93294,.79631E-3,.1282E-4,0
FENGYUN 1C DEB,1999-025HU,2025-04-02T10:04:10.267392,13.98407410,.0092601,99.1641,150.4198,344.7563,15.0814,0,U,29922,999,92886,.21867E-3,.279E-5,0
